Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper
ILMN_1681236,ILMN_1681236,-0.55790074,0.104179863,-5.355168693,8.55E-08,6.47E-08,8.55E-08,6.48E-08,0.57240944,0.466690249,0.702077164
ILMN_1759487,ILMN_1759487,0.553013631,0.109452457,5.052546503,4.36E-07,1.68E-06,4.36E-07,3.02E-07,1.738484282,1.402828782,2.15445223
ILMN_1689976,ILMN_1689976,0.591476176,0.117146084,5.049047769,4.44E-07,2.15E-05,4.44E-07,4.10E-07,1.806653387,1.436018093,2.272949399
ILMN_1851945,ILMN_1851945,0.496980775,0.098045137,5.068897752,4.00E-07,1.04E-06,4.00E-07,4.55E-07,1.643750918,1.356375187,1.992013055
ILMN_1675100,ILMN_1675100,0.686010327,0.144316089,4.753526307,2.00E-06,2.26E-05,2.00E-06,1.41E-06,1.985777107,1.496540318,2.634951207
ILMN_1718663,ILMN_1718663,0.512764978,0.108480348,4.726800629,2.28E-06,7.59E-06,2.28E-06,2.18E-06,1.66990206,1.350057795,2.065521121
ILMN_1804556,ILMN_1804556,0.532403863,0.113020215,4.710695907,2.47E-06,1.25E-05,2.47E-06,2.91E-06,1.703021221,1.3646368,2.125313695
ILMN_1713038,ILMN_1713038,0.374857015,0.078454811,4.777999062,1.77E-06,7.09E-05,1.77E-06,3.48E-06,1.454783388,1.247433712,1.696598934
ILMN_1806177,ILMN_1806177,0.532680237,0.115452656,4.613841327,3.95E-06,5.07E-05,3.95E-06,3.70E-06,1.703491957,1.358521789,2.136060587
ILMN_1716461,ILMN_1716461,0.576231844,0.131314738,4.388173418,1.14E-05,0.000231099,1.14E-05,3.90E-06,1.779321024,1.375558302,2.301598778
ILMN_1766955,ILMN_1766955,0.58821365,0.124500664,4.724582436,2.31E-06,8.49E-05,2.31E-06,5.52E-06,1.800768737,1.41085631,2.29843962
ILMN_1832115,ILMN_1832115,0.508705197,0.11113403,4.577402577,4.71E-06,1.39E-05,4.71E-06,7.61E-06,1.663136367,1.337612757,2.067879931
ILMN_1859635,ILMN_1859635,0.527020983,0.119220664,4.420550655,9.84E-06,1.38E-05,9.84E-06,7.78E-06,1.693878691,1.34091575,2.139750406
ILMN_1768814,ILMN_1768814,0.831998293,0.191236772,4.350618789,1.36E-05,0.000107404,1.36E-05,8.62E-06,2.297906045,1.579614938,3.342822394
ILMN_1912287,ILMN_1912287,0.409168212,0.090660712,4.513181117,6.39E-06,0.000170418,6.39E-06,8.90E-06,1.505564954,1.260459683,1.798332671
ILMN_1765557,ILMN_1765557,0.416625472,0.096056016,4.337317857,1.44E-05,8.33E-05,1.44E-05,9.43E-06,1.51683431,1.256536518,1.831054085
ILMN_1676067,ILMN_1676067,0.470538727,0.106553088,4.416002747,1.01E-05,0.000139933,1.01E-05,9.54E-06,1.600856386,1.299134811,1.972652219
ILMN_1665168,ILMN_1665168,0.536502083,0.122876853,4.366176948,1.26E-05,1.06E-05,1.26E-05,9.90E-06,1.710014898,1.344023701,2.175669186
ILMN_1812091,ILMN_1812091,0.396204345,0.091526514,4.328847781,1.50E-05,0.000225544,1.50E-05,1.01E-05,1.486172979,1.242115128,1.778184705
ILMN_1807529,ILMN_1807529,0.438567315,0.105179138,4.169717709,3.05E-05,0.000608274,3.05E-05,1.12E-05,1.550484272,1.261649501,1.905443211
ILMN_1661197,ILMN_1661197,0.423177121,0.097907011,4.322235105,1.54E-05,0.000144868,1.54E-05,1.19E-05,1.526804701,1.26021571,1.849788552
ILMN_1659914,ILMN_1659914,-0.484862597,0.10976572,-4.417249737,1.00E-05,7.65E-06,1.00E-05,1.21E-05,0.615781801,0.496585575,0.763588888
ILMN_1652825,ILMN_1652825,0.496600511,0.114433877,4.339628481,1.43E-05,9.22E-05,1.43E-05,1.21E-05,1.643125977,1.312999526,2.056255867
ILMN_1796247,ILMN_1796247,0.543217814,0.125042921,4.344250821,1.40E-05,2.06E-05,1.40E-05,1.24E-05,1.721537547,1.347347967,2.199648197
ILMN_1679754,ILMN_1679754,0.526472384,0.125723286,4.187548715,2.82E-05,0.000198424,2.82E-05,1.26E-05,1.692949686,1.323208239,2.166007251
ILMN_1806733,ILMN_1806733,0.416875125,0.095715494,4.355356763,1.33E-05,4.05E-05,1.33E-05,1.32E-05,1.517213039,1.257689369,1.830289308
ILMN_1747305,ILMN_1747305,0.530217758,0.122354173,4.333466875,1.47E-05,3.40E-05,1.47E-05,1.39E-05,1.699302305,1.336972841,2.159825715
